N,Z,D to use,,,,,,,,,,,,,,,,,,,
13,9,2793.378,,,,,,,,,,,,,,,,,,,
12,10,-8024.72,,,,,,,,,,,,,,,,,,,
11,11,-5182.44,,,,,,,,,,,,,,,,,,,
10,12,-396.963,,,,,,,,,,,,,,,,,,,
9,13,18183.01,,,,,,,,,,,,,,,,,,,
8,14,32164.01,,,,,,,,,,,,,,,,,,,
16,7,38396.01,,,,,,,,,,,,,,,,,,,
15,8,14612.96,,,,,,,,,,,,,,,,,,,
14,9,3329.747,,,,,,,,,,,,,,,,,,,
13,10,-5154.05,,,,,,,,,,,,,,,,,,,
12,11,-9529.85,,,,,,,,,,,,,,,,,,,
11,12,-5473.77,,,,,,,,,,,,,,,,,,,
10,13,6769.57,,,,,,,,,,,,,,,,,,,
9,14,23772.01,,,,,,,,,,,,,,,,,,,
17,7,47543.01,,,,,,,,,,,,,,,,,,,
16,8,19070.4,,,,,,,,,,,,,,,,,,,
15,9,7559.527,,,,,,,,,,,,,,,,,,,
14,10,-5951.52,,,,,,,,,,,,,,,,,,,
13,11,-8418.11,,,,,,,,,,,,,,,,,,,
12,12,-13933.6,,,,,,,,,,,,,,,,,,,
11,13,-56.946,,,,,,,,,,,,,,,,,,,
10,14,10754.67,,,,,,,,,,,,,,,,,,,
9,15,31997.01,,,,,,,,,,,,,,,,,,,
18,7,56504.01,,,,,,,,,,,,,,,,,,,
17,8,27442.01,,,,,,,,,,,,,,,,,,,
16,9,11272.71,,,,,,,,,,,,,,,,,,,
15,10,-2108.08,,,,,,,,,,,,,,,,,,,
14,11,-9357.82,,,,,,,,,,,,,,,,,,,
13,12,-13192.8,,,,,,,,,,,,,,,,,,,
12,13,-8916.17,,,,,,,,,,,,,,,,,,,
11,14,3824.318,,,,,,,,,,,,,,,,,,,
10,15,18872.01,,,,,,,,,,,,,,,,,,,
18,8,35713.01,,,,,,,,,,,,,,,,,,,
17,9,18271.77,,,,,,,,,,,,,,,,,,,
16,10,429.611,,,,,,,,,,,,,,,,,,,
15,11,-6862.32,,,,,,,,,,,,,,,,,,,
14,12,-16214.6,,,,,,,,,,,,,,,,,,,
13,13,-12210.3,,,,,,,,,,,,,,,,,,,
12,14,-7144.63,,,,,,,,,,,,,,,,,,,
11,15,10973.01,,,,,,,,,,,,,,,,,,,
10,16,25970.01,,,,,,,,,,,,,,,,,,,
19,8,44954.01,,,,,,,,,,,,,,,,,,,
18,9,24926.86,,,,,,,,,,,,,,,,,,,
17,10,7069.949,,,,,,,,,,,,,,,,,,,
16,11,-5517.44,,,,,,,,,,,,,,,,,,,
15,12,-14586.7,,,,,,,,,,,,,,,,,,,
14,13,-17196.7,,,,,,,,,,,,,,,,,,,
13,14,-12384.3,,,,,,,,,,,,,,,,,,,
12,15,-717.03,,,,,,,,,,,,,,,,,,,
11,16,17543.01,,,,,,,,,,,,,,,,,,,
20,8,53850.01,,,,,,,,,,,,,,,,,,,
19,9,33226.01,,,,,,,,,,,,,,,,,,,
18,10,11244.6,,,,,,,,,,,,,,,,,,,
17,11,-989.247,,,,,,,,,,,,,,,,,,,
16,12,-15018.6,,,,,,,,,,,,,,,,,,,
