N,Z,D to use,,,,,,,,,,,,,,,,,,,
26,30,-25728,,,,,,,,,,,,,,,,,,,
25,31,-4741.01,,,,,,,,,,,,,,,,,,,
37,20,-7120.01,,,,,,,,,,,,,,,,,,,
36,21,-20688,,,,,,,,,,,,,,,,,,,
35,22,-33543.9,,,,,,,,,,,,,,,,,,,
34,23,-44188.7,,,,,,,,,,,,,,,,,,,
33,24,-52524.1,,,,,,,,,,,,,,,,,,,
32,25,-57486.8,,,,,,,,,,,,,,,,,,,
31,26,-60180.1,,,,,,,,,,,,,,,,,,,
30,27,-59344.2,,,,,,,,,,,,,,,,,,,
29,28,-56082,,,,,,,,,,,,,,,,,,,
28,29,-47309.6,,,,,,,,,,,,,,,,,,,
27,30,-32800,,,,,,,,,,,,,,,,,,,
26,31,-15901,,,,,,,,,,,,,,,,,,,
37,21,-15174,,,,,,,,,,,,,,,,,,,
36,22,-30767,,,,,,,,,,,,,,,,,,,
35,23,-40208.7,,,,,,,,,,,,,,,,,,,
34,24,-51834.7,,,,,,,,,,,,,,,,,,,
33,25,-55906.8,,,,,,,,,,,,,,,,,,,
32,26,-62153.4,,,,,,,,,,,,,,,,,,,
31,27,-59845.9,,,,,,,,,,,,,,,,,,,
30,28,-60227.7,,,,,,,,,,,,,,,,,,,
29,29,-51662.1,,,,,,,,,,,,,,,,,,,
28,30,-42297.7,,,,,,,,,,,,,,,,,,,
27,31,-23986,,,,,,,,,,,,,,,,,,,
26,32,-8374.01,,,,,,,,,,,,,,,,,,,
38,21,-10042,,,,,,,,,,,,,,,,,,,
37,22,-25216,,,,,,,,,,,,,,,,,,,
36,23,-37066.6,,,,,,,,,,,,,,,,,,,
35,24,-47891.5,,,,,,,,,,,,,,,,,,,
34,25,-55479.6,,,,,,,,,,,,,,,,,,,
33,26,-60663.1,,,,,,,,,,,,,,,,,,,
32,27,-62228.4,,,,,,,,,,,,,,,,,,,
31,28,-61155.7,,,,,,,,,,,,,,,,,,,
30,29,-56357.2,,,,,,,,,,,,,,,,,,,
29,30,-47260.5,,,,,,,,,,,,,,,,,,,
28,31,-34121,,,,,,,,,,,,,,,,,,,
27,32,-17000,,,,,,,,,,,,,,,,,,,
39,21,-3996.01,,,,,,,,,,,,,,,,,,,
38,22,-21648,,,,,,,,,,,,,,,,,,,
37,23,-32577.3,,,,,,,,,,,,,,,,,,,
36,24,-46503.9,,,,,,,,,,,,,,,,,,,
35,25,-53177.8,,,,,,,,,,,,,,,,,,,
34,26,-61411.8,,,,,,,,,,,,,,,,,,,
33,27,-61649,,,,,,,,,,,,,,,,,,,
32,28,-64472.1,,,,,,,,,,,,,,,,,,,
31,29,-58344.1,,,,,,,,,,,,,,,,,,,
30,30,-54187.8,,,,,,,,,,,,,,,,,,,
29,31,-39998,,,,,,,,,,,,,,,,,,,
28,32,-27768,,,,,,,,,,,,,,,,,,,
27,33,-6399.01,,,,,,,,,,,,,,,,,,,
39,22,-15649,,,,,,,,,,,,,,,,,,,
38,23,-29361,,,,,,,,,,,,,,,,,,,
37,24,-42180.7,,,,,,,,,,,,,,,,,,,
36,25,-51555.7,,,,,,,,,,,,,,,,,,,
35,26,-58921.4,,,,,,,,,,,,,,,,,,,
34,27,-62898.4,,,,,,,,,,,,,,,,,,,
33,28,-64220.9,,,,,,,,,,,,,,,,,,,
32,29,-61983.6,,,,,,,,,,,,,,,,,,,
31,30,-56345.5,,,,,,,,,,,,,,,,,,,
30,31,-47090.5,,,,,,,,,,,,,,,,,,,
29,32,-33729,,,,,,,,,,,,,,,,,,,
28,33,-18052,,,,,,,,,,,,,,,,,,,
40,22,-11653,,,,,,,,,,,,,,,,,,,
39,23,-24424,,,,,,,,,,,,,,,,,,,
38,24,-40414.6,,,,,,,,,,,,,,,,,,,
37,25,-48038.8,,,,,,,,,,,,,,,,,,,
36,26,-58900.7,,,,,,,,,,,,,,,,,,,
35,27,-61431.5,,,,,,,,,,,,,,,,,,,
34,28,-66746.1,,,,,,,,,,,,,,,,,,,
33,29,-62797.8,,,,,,,,,,,,,,,,,,,
32,30,-61171.4,,,,,,,,,,,,,,,,,,,
31,31,-52000.4,,,,,,,,,,,,,,,,,,,
30,32,-42243,,,,,,,,,,,,,,,,,,,
29,33,-24964,,,,,,,,,,,,,,,,,,,
41,22,-5198.01,,,,,,,,,,,,,,,,,,,
40,23,-20912,,,,,,,,,,,,,,,,,,,
39,24,-35527,,,,,,,,,,,,,,,,,,,
38,25,-46351.2,,,,,,,,,,,,,,,,,,,
37,26,-55545.8,,,,,,,,,,,,,,,,,,,
36,27,-61840.4,,,,,,,,,,,,,,,,,,,
35,28,-65512.6,,,,,,,,,,,,,,,,,,,
34,29,-65579.5,,,,,,,,,,,,,,,,,,,
33,30,-62213,,,,,,,,,,,,,,,,,,,
32,31,-56547.1,,,,,,,,,,,,,,,,,,,
31,32,-46910,,,,,,,,,,,,,,,,,,,
30,33,-33823,,,,,,,,,,,,,,,,,,,
41,23,-15398,,,,,,,,,,,,,,,,,,,
40,24,-33152,,,,,,,,,,,,,,,,,,,
39,25,-42616.7,,,,,,,,,,,,,,,,,,,
38,26,-54770.7,,,,,,,,,,,,,,,,,,,
37,27,-59792.7,,,,,,,,,,,,,,,,,,,
36,28,-67099.3,,,,,,,,,,,,,,,,,,,
35,29,-65424.2,,,,,,,,,,,,,,,,,,,
34,30,-66003.6,,,,,,,,,,,,,,,,,,,
33,31,-58834.3,,,,,,,,,,,,,,,,,,,
32,32,-54349.9,,,,,,,,,,,,,,,,,,,
31,33,-39521,,,,,,,,,,,,,,,,,,,
42,23,-11252,,,,,,,,,,,,,,,,,,,
41,24,-27796,,,,,,,,,,,,,,,,,,,
40,25,-40672.7,,,,,,,,,,,,,,,,,,,
39,26,-50878,,,,,,,,,,,,,,,,,,,
38,27,-59169.9,,,,,,,,,,,,,,,,,,,
37,28,-65126.1,,,,,,,,,,,,,,,,,,,
36,29,-67263.7,,,,,,,,,,,,,,,,,,,
35,30,-65911.6,,,,,,,,,,,,,,,,,,,
34,31,-62657.2,,,,,,,,,,,,,,,,,,,
33,32,-56414.6,,,,,,,,,,,,,,,,,,,
32,33,-46981,,,,,,,,,,,,,,,,,,,
31,34,-32919,,,,,,,,,,,,,,,,,,,
42,24,-24796,,,,,,,,,,,,,,,,,,,
41,25,-36254,,,,,,,,,,,,,,,,,,,
40,26,-49573.5,,,,,,,,,,,,,,,,,,,
39,27,-56111.3,,,,,,,,,,,,,,,,,,,
38,28,-66006.3,,,,,,,,,,,,,,,,,,,
37,29,-66258.3,,,,,,,,,,,,,,,,,,,
36,30,-68899.4,,,,,,,,,,,,,,,,,,,
35,31,-63724.4,,,,,,,,,,,,,,,,,,,
34,32,-61624.4,,,,,,,,,,,,,,,,,,,
33,33,-51502.3,,,,,,,,,,,,,,,,,,,
32,34,-41722,,,,,,,,,,,,,,,,,,,
43,24,-19049,,,,,,,,,,,,,,,,,,,
42,25,-33403,,,,,,,,,,,,,,,,,,,
41,26,-45692.3,,,,,,,,,,,,,,,,,,,
40,27,-55061,,,,,,,,,,,,,,,,,,,
39,28,-63742.7,,,,,,,,,,,,,,,,,,,
38,29,-67318.8,,,,,,,,,,,,,,,,,,,
37,30,-67880.4,,,,,,,,,,,,,,,,,,,
36,31,-66879.7,,,,,,,,,,,,,,,,,,,
35,32,-62657.8,,,,,,,,,,,,,,,,,,,
34,33,-56647.8,,,,,,,,,,,,,,,,,,,
33,34,-46491,,,,,,,,,,,,,,,,,,,
32,35,-32798,,,,,,,,,,,,,,,,,,,
43,25,-28597,,,,,,,,,,,,,,,,,,,
42,26,-43128.2,,,,,,,,,,,,,,,,,,,
41,27,-51350.4,,,,,,,,,,,,,,,,,,,
40,28,-63463.8,,,,,,,,,,,,,,,,,,,
39,29,-65567,,,,,,,,,,,,,,,,,,,
38,30,-70007.2,,,,,,,,,,,,,,,,,,,
37,31,-67086.1,,,,,,,,,,,,,,,,,,,
36,32,-66979.8,,,,,,,,,,,,,,,,,,,
35,33,-58899.2,,,,,,,,,,,,,,,,,,,
34,34,-54214.8,,,,,,,,,,,,,,,,,,,
33,35,-38642,,,,,,,,,,,,,,,,,,,
44,25,-25299,,,,,,,,,,,,,,,,,,,
43,26,-38396,,,,,,,,,,,,,,,,,,,
42,27,-50002.6,,,,,,,,,,,,,,,,,,,
41,28,-59978.6,,,,,,,,,,,,,,,,,,,
40,29,-65736.2,,,,,,,,,,,,,,,,,,,
39,30,-68418,,,,,,,,,,,,,,,,,,,
38,31,-69327.8,,,,,,,,,,,,,,,,,,,
37,32,-67100.6,,,,,,,,,,,,,,,,,,,
36,33,-63086.7,,,,,,,,,,,,,,,,,,,
35,34,-56301.5,,,,,,,,,,,,,,,,,,,
34,35,-46476,,,,,,,,,,,,,,,,,,,
33,36,-32435,,,,,,,,,,,,,,,,,,,
44,26,-35900,,,,,,,,,,,,,,,,,,,
43,27,-45643.2,,,,,,,,,,,,,,,,,,,
42,28,-59149.9,,,,,,,,,,,,,,,,,,,
41,29,-62976.1,,,,,,,,,,,,,,,,,,,
40,30,-69564.6,,,,,,,,,,,,,,,,,,,
39,31,-68910.1,,,,,,,,,,,,,,,,,,,
38,32,-70563.1,,,,,,,,,,,,,,,,,,,
37,33,-64343.1,,,,,,,,,,,,,,,,,,,
36,34,-62046.2,,,,,,,,,,,,,,,,,,,
35,35,-51426,,,,,,,,,,,,,,,,,,,
34,36,-41676,,,,,,,,,,,,,,,,,,,
45,26,-31000,,,,,,,,,,,,,,,,,,,
44,27,-43873.4,,,,,,,,,,,,,,,,,,,
43,28,-55203.8,,,,,,,,,,,,,,,,,,,
42,29,-62711.1,,,,,,,,,,,,,,,,,,,
41,30,-67326.9,,,,,,,,,,,,,,,,,,,
40,31,-70140.2,,,,,,,,,,,,,,,,,,,
39,32,-69907.7,,,,,,,,,,,,,,,,,,,
38,33,-67894.3,,,,,,,,,,,,,,,,,,,
37,34,-63116.3,,,,,,,,,,,,,,,,,,,
36,35,-57063.3,,,,,,,,,,,,,,,,,,,
35,36,-46923.3,,,,,,,,,,,,,,,,,,,
34,37,-32304,,,,,,,,,,,,,,,,,,,
46,26,-28299,,,,,,,,,,,,,,,,,,,
45,27,-39300,,,,,,,,,,,,,,,,,,,
44,28,-53940.3,,,,,,,,,,,,,,,,,,,
43,29,-59783,,,,,,,,,,,,,,,,,,,
42,30,-68131.4,,,,,,,,,,,,,,,,,,,
41,31,-68589.4,,,,,,,,,,,,,,,,,,,
40,32,-72585.9,,,,,,,,,,,,,,,,,,,
39,33,-68229.8,,,,,,,,,,,,,,,,,,,
38,34,-67894.4,,,,,,,,,,,,,,,,,,,
37,35,-59015.2,,,,,,,,,,,,,,,,,,,
36,36,-53940.9,,,,,,,,,,,,,,,,,,,
35,37,-38117,,,,,,,,,,,,,,,,,,,
46,27,-37036,,,,,,,,,,,,,,,,,,,
45,28,-49863,,,,,,,,,,,,,,,,,,,
44,29,-58986.6,,,,,,,,,,,,,,,,,,,
43,30,-65410.3,,,,,,,,,,,,,,,,,,,
42,31,-69699.3,,,,,,,,,,,,,,,,,,,
41,32,-71297.5,,,,,,,,,,,,,,,,,,,
40,33,-70956.7,,,,,,,,,,,,,,,,,,,
39,34,-68217.6,,,,,,,,,,,,,,,,,,,
38,35,-63628.9,,,,,,,,,,,,,,,,,,,
37,36,-56551.8,,,,,,,,,,,,,,,,,,,
36,37,-46052,,,,,,,,,,,,,,,,,,,
35,38,-31699,,,,,,,,,,,,,,,,,,,
47,27,-32248,,,,,,,,,,,,,,,,,,,
46,28,-48372,,,,,,,,,,,,,,,,,,,
45,29,-56006.2,,,,,,,,,,,,,,,,,,,
44,30,-65708.9,,,,,,,,,,,,,,,,,,,
43,31,-68049.6,,,,,,,,,,,,,,,,,,,
42,32,-73422.4,,,,,,,,,,,,,,,,,,,
41,33,-70860,,,,,,,,,,,,,,,,,,,
40,34,-72212.7,,,,,,,,,,,,,,,,,,,
39,35,-65306.1,,,,,,,,,,,,,,,,,,,
38,36,-62331.5,,,,,,,,,,,,,,,,,,,
37,37,-51917.1,,,,,,,,,,,,,,,,,,,
36,38,-40697,,,,,,,,,,,,,,,,,,,
48,27,-29500,,,,,,,,,,,,,,,,,,,
47,28,-43901,,,,,,,,,,,,,,,,,,,
46,29,-54119.8,,,,,,,,,,,,,,,,,,,
45,30,-62469,,,,,,,,,,,,,,,,,,,
44,31,-68464.6,,,,,,,,,,,,,,,,,,,
43,32,-71856.4,,,,,,,,,,,,,,,,,,,
42,33,-73032.4,,,,,,,,,,,,,,,,,,,
41,34,-72169,,,,,,,,,,,,,,,,,,,
40,35,-69139,,,,,,,,,,,,,,,,,,,
39,36,-64323.6,,,,,,,,,,,,,,,,,,,
38,37,-57221.7,,,,,,,,,,,,,,,,,,,
37,38,-46621.7,,,,,,,,,,,,,,,,,,,
48,28,-41610,,,,,,,,,,,,,,,,,,,
47,29,-50976,,,,,,,,,,,,,,,,,,,
46,30,-62136.6,,,,,,,,,,,,,,,,,,,
45,31,-66296.6,,,,,,,,,,,,,,,,,,,
44,32,-73213,,,,,,,,,,,,,,,,,,,
43,33,-72289.5,,,,,,,,,,,,,,,,,,,
42,34,-75252.1,,,,,,,,,,,,,,,,,,,
41,35,-70289.2,,,,,,,,,,,,,,,,,,,
40,36,-69014.3,,,,,,,,,,,,,,,,,,,
39,37,-60479.8,,,,,,,,,,,,,,,,,,,
38,38,-54243.9,,,,,,,,,,,,,,,,,,,
37,39,-38704,,,,,,,,,,,,,,,,,,,
49,28,-36747,,,,,,,,,,,,,,,,,,,
48,29,-48577,,,,,,,,,,,,,,,,,,,
47,30,-58722.3,,,,,,,,,,,,,,,,,,,
46,31,-65992.3,,,,,,,,,,,,,,,,,,,
45,32,-71214,,,,,,,,,,,,,,,,,,,
44,33,-73916.6,,,,,,,,,,,,,,,,,,,
43,34,-74599.6,,,,,,,,,,,,,,,,,,,
42,35,-73234.9,,,,,,,,,,,,,,,,,,,
41,36,-70169.4,,,,,,,,,,,,,,,,,,,
40,37,-64824.5,,,,,,,,,,,,,,,,,,,
39,38,-57804.1,,,,,,,,,,,,,,,,,,,
38,39,-46905,,,,,,,,,,,,,,,,,,,
50,28,-34298,,,,,,,,,,,,,,,,,,,
49,29,-44749,,,,,,,,,,,,,,,,,,,
48,30,-57342.6,,,,,,,,,,,,,,,,,,,
47,31,-63706.6,,,,,,,,,,,,,,,,,,,
46,32,-71862.2,,,,,,,,,,,,,,,,,,,
45,33,-72817.4,,,,,,,,,,,,,,,,,,,
44,34,-77026.1,,,,,,,,,,,,,,,,,,,
43,35,-73452.3,,,,,,,,,,,,,,,,,,,
42,36,-74179.7,,,,,,,,,,,,,,,,,,,
41,37,-66936.2,,,,,,,,,,,,,,,,,,,
40,38,-63173.9,,,,,,,,,,,,,,,,,,,
39,39,-52527,,,,,,,,,,,,,,,,,,,
38,40,-41703,,,,,,,,,,,,,,,,,,,
50,29,-42327,,,,,,,,,,,,,,,,,,,
49,30,-53420,,,,,,,,,,,,,,,,,,,
48,31,-62509.5,,,,,,,,,,,,,,,,,,,
47,32,-69488.5,,,,,,,,,,,,,,,,,,,
46,33,-73636.5,,,,,,,,,,,,,,,,,,,
45,34,-75917.6,,,,,,,,,,,,,,,,,,,
44,35,-76068.5,,,,,,,,,,,,,,,,,,,
43,36,-74442.7,,,,,,,,,,,,,,,,,,,
42,37,-70803.4,,,,,,,,,,,,,,,,,,,
41,38,-65476.6,,,,,,,,,,,,,,,,,,,
40,39,-58356.6,,,,,,,,,,,,,,,,,,,
39,40,-47357,,,,,,,,,,,,,,,,,,,
51,29,-36449,,,,,,,,,,,,,,,,,,,
50,30,-51844.8,,,,,,,,,,,,,,,,,,,
49,31,-59135.2,,,,,,,,,,,,,,,,,,,
48,32,-69515.2,,,,,,,,,,,,,,,,,,,
47,33,-72159.3,,,,,,,,,,,,,,,,,,,
46,34,-77759.9,,,,,,,,,,,,,,,,,,,
45,35,-75889.5,,,,,,,,,,,,,,,,,,,
44,36,-77892.5,,,,,,,,,,,,,,,,,,,
43,37,-72172.9,,,,,,,,,,,,,,,,,,,
42,38,-70308.2,,,,,,,,,,,,,,,,,,,
41,39,-61217.8,,,,,,,,,,,,,,,,,,,
40,40,-55517,,,,,,,,,,,,,,,,,,,
51,30,-46128,,,,,,,,,,,,,,,,,,,
50,31,-57983.3,,,,,,,,,,,,,,,,,,,
49,32,-66303.3,,,,,,,,,,,,,,,,,,,
48,33,-72533.3,,,,,,,,,,,,,,,,,,,
47,34,-76389.5,,,,,,,,,,,,,,,,,,,
46,35,-77974.8,,,,,,,,,,,,,,,,,,,
45,36,-77694,,,,,,,,,,,,,,,,,,,
44,37,-75454.8,,,,,,,,,,,,,,,,,,,
43,38,-71527.7,,,,,,,,,,,,,,,,,,,
42,39,-66017.3,,,,,,,,,,,,,,,,,,,
41,40,-58488.5,,,,,,,,,,,,,,,,,,,
40,41,-47478,,,,,,,,,,,,,,,,,,,
52,30,-42457,,,,,,,,,,,,,,,,,,,
51,31,-53104,,,,,,,,,,,,,,,,,,,
50,32,-65624,,,,,,,,,,,,,,,,,,,
49,33,-70324,,,,,,,,,,,,,,,,,,,
48,34,-77594,,,,,,,,,,,,,,,,,,,
47,35,-77496.5,,,,,,,,,,,,,,,,,,,
46,36,-80589.5,,,,,,,,,,,,,,,,,,,
45,37,-76188.2,,,,,,,,,,,,,,,,,,,
44,38,-76008.4,,,,,,,,,,,,,,,,,,,
43,39,-68192.4,,,,,,,,,,,,,,,,,,,
42,40,-64192,,,,,,,,,,,,,,,,,,,
41,41,-52974,,,,,,,,,,,,,,,,,,,
53,30,-36300,,,,,,,,,,,,,,,,,,,
52,31,-49388,,,,,,,,,,,,,,,,,,,
51,32,-60901,,,,,,,,,,,,,,,,,,,
50,33,-69880.7,,,,,,,,,,,,,,,,,,,
49,34,-75340.7,,,,,,,,,,,,,,,,,,,
48,35,-79008.9,,,,,,,,,,,,,,,,,,,
47,36,-79981.7,,,,,,,,,,,,,,,,,,,
46,37,-79074.8,,,,,,,,,,,,,,,,,,,
45,38,-76795.4,,,,,,,,,,,,,,,,,,,
44,39,-72326.6,,,,,,,,,,,,,,,,,,,
43,40,-66458.6,,,,,,,,,,,,,,,,,,,
42,41,-58958.6,,,,,,,,,,,,,,,,,,,
41,42,-47748,,,,,,,,,,,,,,,,,,,
53,31,-44106,,,,,,,,,,,,,,,,,,,
52,32,-58246,,,,,,,,,,,,,,,,,,,
51,33,-66082,,,,,,,,,,,,,,,,,,,
50,34,-75951.8,,,,,,,,,,,,,,,,,,,
49,35,-77799.3,,,,,,,,,,,,,,,,,,,
48,36,-82431,,,,,,,,,,,,,,,,,,,
47,37,-79750,,,,,,,,,,,,,,,,,,,
46,38,-80643.8,,,,,,,,,,,,,,,,,,,
45,39,-74157.9,,,,,,,,,,,,,,,,,,,
44,40,-71492,,,,,,,,,,,,,,,,,,,
43,41,-61879,,,,,,,,,,,,,,,,,,,
42,42,-55806,,,,,,,,,,,,,,,,,,,
54,31,-40054,,,,,,,,,,,,,,,,,,,
53,32,-53067,,,,,,,,,,,,,,,,,,,
52,33,-63323,,,,,,,,,,,,,,,,,,,
51,34,-72428.3,,,,,,,,,,,,,,,,,,,
50,35,-78610.3,,,,,,,,,,,,,,,,,,,
49,36,-81480.3,,,,,,,,,,,,,,,,,,,
48,37,-82167.3,,,,,,,,,,,,,,,,,,,
47,38,-81102.6,,,,,,,,,,,,,,,,,,,
46,39,-77842.1,,,,,,,,,,,,,,,,,,,
45,40,-73149.1,,,,,,,,,,,,,,,,,,,
44,41,-67149.1,,,,,,,,,,,,,,,,,,,
43,42,-59103,,,,,,,,,,,,,,,,,,,
42,43,-47665,,,,,,,,,,,,,,,,,,,
55,31,-34353,,,,,,,,,,,,,,,,,,,
54,32,-49844,,,,,,,,,,,,,,,,,,,
53,33,-59150,,,,,,,,,,,,,,,,,,,
52,34,-70540.6,,,,,,,,,,,,,,,,,,,
51,35,-75639.6,,,,,,,,,,,,,,,,,,,
50,36,-83265.6,,,,,,,,,,,,,,,,,,,
49,37,-82747,,,,,,,,,,,,,,,,,,,
48,38,-84523.6,,,,,,,,,,,,,,,,,,,
47,39,-79283.6,,,,,,,,,,,,,,,,,,,
46,40,-77804.4,,,,,,,,,,,,,,,,,,,
45,41,-69826.4,,,,,,,,,,,,,,,,,,,
44,42,-64556.4,,,,,,,,,,,,,,,,,,,
43,43,-53207,,,,,,,,,,,,,,,,,,,
55,32,-44237,,,,,,,,,,,,,,,,,,,
54,33,-55983,,,,,,,,,,,,,,,,,,,
53,34,-66581.9,,,,,,,,,,,,,,,,,,,
52,35,-73856.9,,,,,,,,,,,,,,,,,,,
51,36,-80709.4,,,,,,,,,,,,,,,,,,,
50,37,-84597.8,,,,,,,,,,,,,,,,,,,
49,38,-84880.4,,,,,,,,,,,,,,,,,,,
48,39,-83018.7,,,,,,,,,,,,,,,,,,,
47,40,-79348.2,,,,,,,,,,,,,,,,,,,
46,41,-74183.2,,,,,,,,,,,,,,,,,,,
45,42,-67694.9,,,,,,,,,,,,,,,,,,,
44,43,-59122,,,,,,,,,,,,,,,,,,,
43,44,-47339,,,,,,,,,,,,,,,,,,,
56,32,-40138,,,,,,,,,,,,,,,,,,,
55,33,-51288,,,,,,,,,,,,,,,,,,,
54,34,-63878.1,,,,,,,,,,,,,,,,,,,
53,35,-70732.1,,,,,,,,,,,,,,,,,,,
52,36,-79692.1,,,,,,,,,,,,,,,,,,,
51,37,-82609,,,,,,,,,,,,,,,,,,,
50,38,-87921.7,,,,,,,,,,,,,,,,,,,
49,39,-84299.1,,,,,,,,,,,,,,,,,,,
48,40,-83623.1,,,,,,,,,,,,,,,,,,,
47,41,-76073.1,,,,,,,,,,,,,,,,,,,
46,42,-72700.1,,,,,,,,,,,,,,,,,,,
45,43,-62710,,,,,,,,,,,,,,,,,,,
44,44,-55647,,,,,,,,,,,,,,,,,,,
57,32,-33692,,,,,,,,,,,,,,,,,,,
56,33,-47143,,,,,,,,,,,,,,,,,,,
55,34,-59196,,,,,,,,,,,,,,,,,,,
54,35,-68571.6,,,,,,,,,,,,,,,,,,,
53,36,-76726.6,,,,,,,,,,,,,,,,,,,
52,37,-81712.5,,,,,,,,,,,,,,,,,,,
51,38,-86209.1,,,,,,,,,,,,,,,,,,,
50,39,-87701.7,,,,,,,,,,,,,,,,,,,
49,40,-84868.9,,,,,,,,,,,,,,,,,,,
48,41,-80650.4,,,,,,,,,,,,,,,,,,,
47,42,-75003.9,,,,,,,,,,,,,,,,,,,
46,43,-67844,,,,,,,,,,,,,,,,,,,
45,44,-59513,,,,,,,,,,,,,,,,,,,
44,45,-47658,,,,,,,,,,,,,,,,,,,
57,33,-41451,,,,,,,,,,,,,,,,,,,
56,34,-55927,,,,,,,,,,,,,,,,,,,
55,35,-64619.8,,,,,,,,,,,,,,,,,,,
54,36,-74969.8,,,,,,,,,,,,,,,,,,,
53,37,-79361.7,,,,,,,,,,,,,,,,,,,
52,38,-85941.6,,,,,,,,,,,,,,,,,,,
51,39,-86487.5,,,,,,,,,,,,,,,,,,,
50,40,-88767.3,,,,,,,,,,,,,,,,,,,
49,41,-82656.3,,,,,,,,,,,,,,,,,,,
48,42,-80167.3,,,,,,,,,,,,,,,,,,,
47,43,-71206.6,,,,,,,,,,,,,,,,,,,
46,44,-65307,,,,,,,,,,,,,,,,,,,
45,45,-53216,,,,,,,,,,,,,,,,,,,
58,33,-36859,,,,,,,,,,,,,,,,,,,
57,34,-50338,,,,,,,,,,,,,,,,,,,
56,35,-61508.3,,,,,,,,,,,,,,,,,,,
55,36,-71310.3,,,,,,,,,,,,,,,,,,,
54,37,-77745.3,,,,,,,,,,,,,,,,,,,
53,38,-83645.3,,,,,,,,,,,,,,,,,,,
52,39,-86345,,,,,,,,,,,,,,,,,,,
51,40,-87890.4,,,,,,,,,,,,,,,,,,,
50,41,-86632.4,,,,,,,,,,,,,,,,,,,
49,42,-82204.2,,,,,,,,,,,,,,,,,,,
48,43,-75984.2,,,,,,,,,,,,,,,,,,,
47,44,-68658,,,,,,,,,,,,,,,,,,,
46,45,-59103,,,,,,,,,,,,,,,,,,,
45,46,-47403,,,,,,,,,,,,,,,,,,,
59,33,-30926,,,,,,,,,,,,,,,,,,,
58,34,-46649,,,,,,,,,,,,,,,,,,,
57,35,-56580.1,,,,,,,,,,,,,,,,,,,
56,36,-68785,,,,,,,,,,,,,,,,,,,
55,37,-74772,,,,,,,,,,,,,,,,,,,
54,38,-82867.7,,,,,,,,,,,,,,,,,,,
53,39,-84813.3,,,,,,,,,,,,,,,,,,,
52,40,-88453.9,,,,,,,,,,,,,,,,,,,
51,41,-86448.3,,,,,,,,,,,,,,,,,,,
50,42,-86805,,,,,,,,,,,,,,,,,,,
49,43,-78934.6,,,,,,,,,,,,,,,,,,,
48,44,-74408,,,,,,,,,,,,,,,,,,,
47,45,-63360,,,,,,,,,,,,,,,,,,,
46,46,-55498,,,,,,,,,,,,,,,,,,,
59,34,-40716,,,,,,,,,,,,,,,,,,,
58,35,-53049,,,,,,,,,,,,,,,,,,,
57,36,-64017.5,,,,,,,,,,,,,,,,,,,
56,37,-72617.5,,,,,,,,,,,,,,,,,,,
55,38,-80084.6,,,,,,,,,,,,,,,,,,,
54,39,-84223.2,,,,,,,,,,,,,,,,,,,
53,40,-87117,,,,,,,,,,,,,,,,,,,
52,41,-87208.3,,,,,,,,,,,,,,,,,,,
51,42,-86803.5,,,,,,,,,,,,,,,,,,,
50,43,-83602.5,,,,,,,,,,,,,,,,,,,
49,44,-77265.5,,,,,,,,,,,,,,,,,,,
48,45,-69173,,,,,,,,,,,,,,,,,,,
47,46,-59699,,,,,,,,,,,,,,,,,,,
46,47,-46780,,,,,,,,,,,,,,,,,,,
60,34,-36803,,,,,,,,,,,,,,,,,,,
59,35,-47804,,,,,,,,,,,,,,,,,,,
58,36,-61143,,,,,,,,,,,,,,,,,,,
57,37,-68553.4,,,,,,,,,,,,,,,,,,,
56,38,-78840.4,,,,,,,,,,,,,,,,,,,
55,39,-82348.5,,,,,,,,,,,,,,,,,,,
54,40,-87266.8,,,,,,,,,,,,,,,,,,,
53,41,-86364.5,,,,,,,,,,,,,,,,,,,
52,42,-88409.7,,,,,,,,,,,,,,,,,,,
51,43,-84154,,,,,,,,,,,,,,,,,,,
50,44,-82567.9,,,,,,,,,,,,,,,,,,,
49,45,-72938,,,,,,,,,,,,,,,,,,,
48,46,-66350,,,,,,,,,,,,,,,,,,,
47,47,-53300,,,,,,,,,,,,,,,,,,,
60,35,-43901,,,,,,,,,,,,,,,,,,,
59,36,-56039,,,,,,,,,,,,,,,,,,,
58,37,-65853.9,,,,,,,,,,,,,,,,,,,
57,38,-75116.8,,,,,,,,,,,,,,,,,,,
56,39,-81207.1,,,,,,,,,,,,,,,,,,,
55,40,-85657.8,,,,,,,,,,,,,,,,,,,
54,41,-86781.9,,,,,,,,,,,,,,,,,,,
53,42,-87707.5,,,,,,,,,,,,,,,,,,,
52,43,-86016.9,,,,,,,,,,,,,,,,,,,
51,44,-83449.8,,,,,,,,,,,,,,,,,,,
50,45,-78339.8,,,,,,,,,,,,,,,,,,,
49,46,-70151,,,,,,,,,,,,,,,,,,,
48,47,-60100,,,,,,,,,,,,,,,,,,,
47,48,-46696,,,,,,,,,,,,,,,,,,,
61,35,-38629,,,,,,,,,,,,,,,,,,,
60,36,-53030,,,,,,,,,,,,,,,,,,,
59,37,-61224.6,,,,,,,,,,,,,,,,,,,
58,38,-72939,,,,,,,,,,,,,,,,,,,
57,39,-78346.7,,,,,,,,,,,,,,,,,,,
56,40,-85442.8,,,,,,,,,,,,,,,,,,,
55,41,-85603.7,,,,,,,,,,,,,,,,,,,
54,42,-88790.5,,,,,,,,,,,,,,,,,,,
