Z,N,UQ,DQ,Mass Excess [MeV],Mass Error,Mass Estimated,Neutron separation energy [MeV],Separation Error,Seperation Estimated
51,53,155,157,-59.17362,0.122444,0,11.067,0.322,1
51,54,156,159,-64.015482,0.021827,0,12.91318,0.12437,0
51,55,157,161,-66.473292,0.007452,0,10.52913,0.02306,0
51,56,158,163,-70.653239,0.004148,0,12.25126,0.00853,0
51,57,159,165,-72.445331,0.005496,0,9.86341,0.00689,0
51,58,160,167,-76.250977,0.005265,0,11.87696,0.00761,0
51,59,161,169,-77.449734,0.005962,0,9.27007,0.00795,0
51,60,162,171,-80.836736,0.008849,0,11.45832,0.01067,0
51,61,163,173,-81.598965,0.017829,0,8.83355,0.0199,0
51,62,164,175,-84.416968,0.017193,0,10.88932,0.02477,0
51,63,165,177,-84.496574,0.021838,0,8.15092,0.02779,0
51,64,166,179,-87.003403,0.016025,0,10.57815,0.02709,0
51,65,167,181,-86.82215,0.00516,0,7.89006,0.01684,0
51,66,168,183,-88.639539,0.008437,0,9.88871,0.00989,0
51,67,169,185,-87.996213,0.003016,0,7.42799,0.00895,0
51,68,170,187,-89.47418,0.007701,0,9.54928,0.00824,0
51,69,171,189,-88.417761,0.007196,0,7.0149,0.01054,0
51,70,172,191,-89.600321,0.002582,0,9.25388,0.00762,0
51,71,173,193,-88.33537,0.002578,0,6.80637,0.00013,0
51,72,174,195,-89.224069,0.001506,0,8.96002,0.00213,0
51,73,175,197,-87.620248,0.001507,0,6.4675,0.00006,0
51,74,176,199,-88.256274,0.002599,0,8.70734,0.00213,0
51,75,177,201,-86.39324,0.031767,0,6.20828,0.03186,0
51,76,178,203,-86.699477,0.005126,0,8.37755,0.03216,0
51,77,179,205,-84.630286,0.019119,0,6.00213,0.01979,0
51,78,180,207,-84.629307,0.021231,0,8.07034,0.02856,0
51,79,181,209,-82.285676,0.014212,0,5.72769,0.02555,0
51,80,182,211,-81.981401,0.002084,0,7.76704,0.01436,0
51,81,183,213,-79.635271,0.002467,0,5.72519,0.00323,0
51,82,184,215,-78.923503,0.003128,0,7.35955,0.00398,0
51,83,185,217,-74.020542,0.001705,0,3.16836,0.00356,0
51,84,186,219,-69.690323,0.00264,0,3.7411,0.00314,0
51,85,187,221,-64.50688,0.00583,0,2.88787,0.0064,0
51,86,188,223,-60.060384,0.052164,0,3.62482,0.05249,0
51,87,189,225,-54.220403,1.064232,0,2.23134,1.06551,0
51,88,190,227,-49.788,0.401,1,3.639,1.137,1
51,89,191,229,-43.939,0.596,1,2.222,0.718,1
51,90,192,231,-39.11,0.5,1,3.242,0.778,1
52,53,157,158,-52.81151,0.30002,0,NaN,NaN,
52,54,158,160,-58.219748,0.100541,0,13.47955,0.31642,0
52,55,159,162,-60.539326,0.07083,0,10.3909,0.12299,0
52,56,160,164,-65.781667,0.005411,0,13.31366,0.07104,0
52,57,161,166,-67.71539,0.004382,0,10.00504,0.00696,0
52,58,162,168,-72.229811,0.006575,0,12.58574,0.0079,0
52,59,163,170,-73.587477,0.006427,0,9.42898,0.00919,0
52,60,164,172,-77.567508,0.008383,0,12.05135,0.01056,0
52,61,165,174,-78.347029,0.027945,0,8.85084,0.02918,0
52,62,166,176,-81.888569,0.027945,0,11.61286,0.03952,0
52,63,167,178,-82.062759,0.027945,0,8.24551,0.03952,0
52,64,168,180,-85.268961,0.027945,0,11.27752,0.03952,0
52,65,169,182,-85.095411,0.013456,0,7.89777,0.03102,0
52,66,170,184,-87.696584,0.018481,0,10.67249,0.02286,0
52,67,171,186,-87.18118,0.007957,0,7.55591,0.02012,0
52,68,172,188,-89.367987,0.003085,0,10.25812,0.00853,0
52,69,173,190,-88.545502,0.02585,0,7.24883,0.02587,0
52,70,174,192,-90.31446,0.001507,0,9.84027,0.02581,0
52,71,175,194,-89.172156,0.001505,0,6.92901,0.00008,0
52,72,176,196,-90.525321,0.001502,0,9.42448,0.00009,0
52,73,177,198,-89.022974,0.001502,0,6.56897,0.00003,0
52,74,178,200,-90.065348,0.001504,0,9.11369,0.00008,0
52,75,179,202,-88.281678,0.001514,0,6.28765,0.00018,0
52,76,180,204,-88.993716,0.000866,0,8.78335,0.00169,0
52,77,181,206,-87.004807,0.000869,0,6.08241,0.00008,0
52,78,182,208,-87.352949,0.000011,0,8.41946,0.00087,0
52,79,183,210,-85.211012,0.000061,0,5.92938,0.00006,0
52,80,184,212,-85.188186,0.003486,0,8.04849,0.00349,0
52,81,185,214,-82.937122,0.002066,0,5.82025,0.00405,0
52,82,186,216,-82.533741,0.002746,0,7.66794,0.00344,0
52,83,187,218,-77.72878,0.001722,0,3.26636,0.00324,0
52,84,188,220,-74.425269,0.002281,0,4.76781,0.00286,0
52,85,189,222,-69.303753,0.0021,0,2.9498,0.0031,0
52,86,190,224,-65.695985,0.003787,0,4.46355,0.00433,0
52,87,191,226,-60.205072,0.00354,0,2.5804,0.00518,0
52,88,192,228,-56.576228,0.06241,0,4.44247,0.06251,0
52,89,193,230,-50.487,0.401,1,1.982,0.405,1
52,90,194,232,-46.37,0.503,1,3.954,0.643,1
52,91,195,234,-40.278,0.503,1,1.979,0.711,1
53,54,160,161,-49.43,0.3,1,NaN,NaN,
53,55,161,163,-52.649605,0.13226,0,11.291,0.328,1
53,56,162,165,-57.672496,0.006729,0,13.09421,0.13243,0
53,57,163,167,-60.464176,0.050552,0,10.863,0.051,0
53,58,164,169,-64.953785,0.004754,0,12.56093,0.05078,0
53,59,165,171,-67.06333,0.010246,0,10.18086,0.0113,0
53,60,166,173,-71.119507,0.008011,0,12.12749,0.01301,0
53,61,167,175,-72.796,0.149,1,9.748,0.149,1
53,62,168,177,-76.337797,0.028876,0,11.613,0.152,1
53,63,169,179,-77.492236,0.096592,0,9.22576,0.10082,0
53,64,170,181,-80.436077,0.026196,0,11.01516,0.10008,0
53,65,171,183,-80.971048,0.01976,0,8.60629,0.03281,0
53,66,172,185,-83.76553,0.027945,0,10.8658,0.03423,0
53,67,173,187,-83.752987,0.015314,0,8.05877,0.03187,0
53,68,174,189,-86.251449,0.005356,0,10.56978,0.01563,0
53,69,175,191,-86.08046,0.005222,0,7.90033,0.00717,0
53,70,176,193,-87.943727,0.00374,0,9.93459,0.00607,0
53,71,177,195,-87.365734,0.00239,0,7.49332,0.00392,0
53,72,178,197,-88.837204,0.001504,0,9.54279,0.00186,0
53,73,179,199,-87.911318,0.003809,0,7.14543,0.00368,0
53,74,180,201,-88.983909,0.003647,0,9.14391,0.00274,0
53,75,181,203,-87.738724,0.003647,0,6.82613,0.00005,0
53,76,182,205,-88.507125,0.003168,0,8.83972,0.00482,0
53,77,183,207,-86.936138,0.003168,0,6.50033,0.00004,0
53,78,184,209,-87.44271,0.000605,0,8.57789,0.00323,0
53,79,185,211,-85.70349,0.004065,0,6.3321,0.00411,0
53,80,186,213,-85.85826,0.006427,0,8.22609,0.00761,0
53,81,187,215,-84.043429,0.004857,0,6.25649,0.00806,0
53,82,188,217,-83.779145,0.002061,0,7.80703,0.00528,0
53,83,189,219,-79.545214,0.014188,0,3.83739,0.01434,0
53,84,190,221,-76.356258,0.008383,0,4.88236,0.01648,0
53,85,191,223,-71.9799,0.005962,0,3.69496,0.01029,0
53,86,192,225,-68.470954,0.004005,0,4.56237,0.00718,0
53,87,193,227,-63.606213,0.012109,0,3.20658,0.01275,0
53,88,194,229,-59.926657,0.015835,0,4.39176,0.01993,0
53,89,195,231,-54.769984,0.374461,0,2.91464,0.3748,0
53,90,196,233,-50.63,0.2,1,3.932,0.425,1
53,91,197,235,-45.28,0.401,1,2.721,0.448,1
53,92,198,237,-40.939,0.503,1,3.731,0.643,1
54,55,163,164,-46.169548,0.300108,0,NaN,NaN,
54,56,164,166,-51.922625,0.100988,0,13.82439,0.31664,0
54,57,165,168,-54.395534,0.0867,0,10.54423,0.1331,0
54,58,166,170,-60.026338,0.008283,0,13.70212,0.08709,0
54,59,167,172,-62.203618,0.00684,0,10.2486,0.01074,0
54,60,168,174,-67.08589,0.011178,0,12.95359,0.0131,0
54,61,169,176,-68.656748,0.012109,0,9.64218,0.01648,0
54,62,170,178,-73.046724,0.013041,0,12.46129,0.0178,0
54,63,171,180,-74.185337,0.010378,0,9.20993,0.01667,0
54,64,172,182,-78.079057,0.010378,0,11.96504,0.01468,0
54,65,173,184,-78.794413,0.010378,0,8.78667,0.01468,0
54,66,174,186,-82.172423,0.011817,0,11.44933,0.01573,0
54,67,175,188,-82.480986,0.010243,0,8.37988,0.01564,0
54,68,176,190,-85.354977,0.011111,0,10.94531,0.01511,0
54,69,177,192,-85.248701,0.009537,0,7.96504,0.01464,0
54,70,178,194,-87.661421,0.001793,0,10.48404,0.00969,0
54,71,179,196,-87.193381,0.001836,0,7.60328,0.0004,0
54,72,180,198,-89.146962,0.0035,0,10.0249,0.00395,0
54,73,181,200,-88.32156,0.00411,0,7.24592,0.0054,0
54,74,182,202,-89.860298,0.001061,0,9.61006,0.0042,0
54,75,183,204,-88.69605896,0.0000053,0,6.90708,0.00106,0
54,76,184,206,-89.880463,0.000009,0,9.25572,0.00001,0
54,77,185,208,-88.413558,0.000009,0,6.60441,0.00001,0
54,78,186,210,-89.27896179,0.0000051,0,8.93672,0.00001,0
54,79,187,212,-87.643571,0.0024,0,6.43593,0.0024,0
54,80,188,214,-88.125822,0.000009,0,8.55357,0.0024,0
54,81,189,216,-86.413151,0.00372,0,6.35865,0.00372,0
54,82,190,218,-86.429159,0.000007,0,8.08733,0.00372,0
54,83,191,220,-82.383404,0.000103,0,4.02556,0.0001,0
54,84,192,222,-79.972233,0.002804,0,5.66015,0.00281,0
54,85,193,224,-75.644576,0.002142,0,3.74366,0.00353,0
54,86,194,226,-72.986451,0.002329,0,5.41319,0.00316,0
54,87,195,228,-68.197299,0.002888,0,3.28216,0.00371,0
54,88,196,230,-65.229639,0.002701,0,5.10366,0.00395,0
54,89,197,232,-60.202873,0.004657,0,3.04455,0.00538,0
54,90,198,234,-56.872293,0.00531,0,4.74074,0.00706,0
54,91,199,236,-51.493329,0.011178,0,2.69235,0.01237,0
54,92,200,238,-47.954943,0.024219,0,4.53293,0.02667,0
54,93,201,240,-42.36,0.2,1,2.476,0.202,1
54,94,202,242,-38.6,0.3,1,4.312,0.361,1
55,56,166,167,-42.821,0.196,1,NaN,NaN,
55,57,167,169,-46.290277,0.086796,0,11.541,0.214,1
55,58,168,171,-51.76453,0.008577,0,13.54557,0.08722,0
55,59,169,173,-54.682261,0.071102,0,10.98905,0.07162,0
55,60,170,175,-59.699,0.102,1,13.089,0.125,1
55,61,171,177,-62.043,0.1,1,10.414,0.143,1
55,62,172,179,-66.493092,0.06241,0,12.522,0.118,1
55,63,173,181,-68.409367,0.012753,0,9.98759,0.0637,0
55,64,174,183,-72.305051,0.01394,0,11.967,0.01889,0
55,65,175,185,-73.888639,0.00997,0,9.6549,0.01714,0
55,66,176,187,-77.102331,0.01429,0,11.28501,0.01742,0
55,67,177,189,-78.144759,0.033687,0,9.11374,0.03659,0
55,68,178,191,-81.043646,0.012109,0,10.9702,0.0358,0
55,69,179,193,-81.731334,0.008304,0,8.75901,0.01468,0
55,70,180,195,-84.08795,0.007744,0,10.42793,0.01135,0
55,71,181,197,-84.350829,0.010401,0,8.3342,0.01297,0
55,72,182,199,-86.240154,0.005578,0,9.96064,0.0118,0
55,73,183,201,-85.931581,0.005443,0,7.76274,0.00779,0
55,74,184,203,-87.499246,0.004555,0,9.63898,0.0071,0
55,75,185,205,-86.899743,0.008357,0,7.47181,0.00952,0
55,76,186,207,-88.058786,0.004974,0,9.23036,0.00973,0
55,77,187,209,-87.152681,0.001036,0,7.16521,0.00508,0
55,78,188,211,-88.070931,0.000008,0,8.98957,0.00104,0
55,79,189,213,-86.891154,0.000016,0,6.89154,0.00001,0
55,80,190,215,-87.581643,0.000992,0,8.76181,0.00099,0
55,81,191,217,-86.338697,0.001882,0,6.82837,0.00213,0
55,82,192,219,-86.545606,0.000358,0,8.27823,0.00187,0
55,83,193,221,-82.886937,0.009159,0,4.41265,0.00916,0
55,84,194,223,-80.700921,0.00314,0,5.8853,0.00968,0
55,85,195,225,-77.050105,0.008201,0,4.4205,0.00878,0
55,86,196,227,-74.477523,0.009195,0,5.49874,0.0122,0
55,87,197,229,-70.51455,0.007067,0,4.10834,0.0116,0
55,88,198,231,-67.675509,0.007573,0,5.23228,0.01036,0
55,89,199,233,-63.271353,0.020132,0,3.66716,0.02151,0
55,90,200,235,-60.054415,0.009067,0,4.85438,0.02158,0
55,91,201,237,-55.310372,0.002893,0,3.32727,0.00952,0
55,92,202,239,-51.920064,0.008383,0,4.68101,0.00887,0
55,93,203,241,-46.910942,0.013041,0,3.06219,0.0155,0
55,94,204,243,-43.25,0.4,1,4.411,0.4,1
55,95,205,245,-38.17,0.4,1,2.991,0.565,1
55,96,206,247,-34.23,0.5,1,4.131,0.64,1
55,97,207,249,-28.93,0.5,1,2.772,0.707,1
56,57,169,170,-39.784,0.298,1,NaN,NaN,
56,58,170,172,-45.905426,0.102676,0,14.193,0.315,1
56,59,171,174,-49.02,0.2,1,11.186,0.225,1
56,60,172,176,-54.58,0.2,1,13.631,0.283,1
56,61,173,178,-57.457753,0.25034,0,10.949,0.321,1
56,62,174,180,-62.354,0.196,1,12.968,0.318,1
56,63,175,182,-64.590086,0.200269,0,10.307,0.28,1
56,64,176,184,-68.888639,0.300166,0,12.36987,0.36084,0
56,65,177,186,-70.744837,0.141898,0,9.92752,0.33202,0
56,66,178,188,-74.608944,0.027945,0,11.93542,0.14462,0
56,67,179,190,-75.654953,0.012109,0,9.11733,0.03046,0
56,68,180,192,-79.089775,0.012497,0,11.50614,0.0174,0
56,69,181,194,-79.668965,0.010992,0,8.65051,0.01664,0
56,70,182,196,-82.669902,0.012497,0,11.07225,0.01664,0
56,71,183,198,-82.817944,0.011357,0,8.21936,0.01689,0
56,72,184,200,-85.378497,0.005195,0,10.63187,0.01249,0
56,73,185,202,-85.063198,0.010577,0,7.75602,0.01124,0
56,74,186,204,-87.261544,0.002553,0,10.26966,0.01058,0
56,75,187,206,-86.683731,0.002569,0,7.4935,0.0003,0
56,76,188,208,-88.435017,0.001054,0,9.8226,0.0027,0
56,77,189,210,-87.553613,0.000992,0,7.18991,0.00036,0
56,78,190,212,-88.949853,0.000304,0,9.46756,0.00104,0
56,79,191,214,-87.850498,0.000306,0,6.97196,0.0001,0
56,80,192,216,-88.886921,0.000306,0,9.10774,0.00004,0
56,81,193,218,-87.721235,0.000314,0,6.90563,0.00007,0
56,82,194,220,-88.261638,0.000317,0,8.61172,0.00004,0
56,83,195,222,-84.913751,0.000319,0,4.72343,0.00004,0
56,84,196,224,-83.269354,0.007933,0,6.42692,0.00794,0
56,85,197,226,-79.732626,0.005319,0,4.53459,0.00947,0
56,86,198,228,-77.842264,0.00592,0,6.18095,0.00796,0
56,87,199,230,-73.937197,0.006756,0,4.16625,0.00898,0
56,88,200,232,-71.767121,0.007136,0,5.90124,0.00983,0
56,89,201,234,-67.516176,0.008477,0,3.82037,0.01108,0
56,90,202,236,-64.947086,0.020863,0,5.50223,0.02252,0
56,91,203,238,-60.264029,0.019748,0,3.38826,0.02873,0
56,92,204,240,-57.593735,0.063079,0,5.40102,0.0661,0
56,93,205,242,-53.120309,0.437802,0,3.59789,0.44232,0
56,94,206,244,-49.9,0.3,1,4.851,0.531,1
56,95,207,246,-44.94,0.4,1,3.111,0.5,1
56,96,208,248,-41.71,0.4,1,4.842,0.565,1
56,97,209,250,-36.47,0.4,1,2.831,0.565,1
56,98,210,252,-32.82,0.5,1,4.422,0.64,1
57,59,173,175,-40.645,0.312,1,NaN,NaN,
57,60,174,177,-46.471,0.2,1,13.897,0.371,1
57,61,175,179,-49.56,0.3,1,11.161,0.361,1
57,62,176,181,-54.79,0.3,1,13.301,0.424,1
57,63,177,183,-57.57,0.3,1,10.852,0.424,1
57,64,178,185,-62.19,0.3,1,12.692,0.424,1
57,65,179,187,-64.543,0.298,1,10.424,0.423,1
57,66,180,189,-68.651,0.196,1,12.179,0.357,1
57,67,181,191,-70.25861,0.056669,0,9.679,0.204,1
57,68,182,193,-73.759484,0.025997,0,11.57219,0.06235,0
57,69,183,195,-74.973468,0.090508,0,9.2853,0.09417,0
57,70,184,197,-77.896108,0.026,0,10.99396,0.09417,0
57,71,185,199,-78.625431,0.054448,0,8.80064,0.06034,0
57,72,186,201,-81.324573,0.021351,0,10.77046,0.05848,0
57,73,187,203,-81.627366,0.025946,0,8.37411,0.0336,0
57,74,188,205,-83.769256,0.027945,0,10.21321,0.03813,0
57,75,189,207,-83.72365,0.036359,0,8.02571,0.04586,0
57,76,190,209,-85.494383,0.027945,0,9.84205,0.04586,0
57,77,191,211,-85.21865,0.01993,0,7.79558,0.03432,0
57,78,192,213,-86.643317,0.009434,0,9.49598,0.02205,0
57,79,193,215,-86.037479,0.053171,0,7.46548,0.054,0
57,80,194,217,-87.140688,0.001659,0,9.17453,0.0532,0
57,81,195,219,-86.51918,0.003188,0,7.44981,0.00358,0
57,82,196,221,-87.226212,0.002009,0,8.77835,0.00252,0
57,83,197,223,-84.315871,0.002009,0,5.16098,0.00004,0
57,84,198,225,-82.931636,0.004219,0,6.68708,0.00429,0
57,85,199,227,-80.024227,0.006309,0,5.16391,0.00744,0
57,86,200,229,-78.171515,0.00733,0,6.21861,0.00956,0
57,87,201,231,-74.849652,0.012937,0,4.74945,0.01487,0
57,88,202,233,-72.835317,0.012269,0,6.05698,0.01783,0
57,89,203,235,-69.050283,0.033616,0,4.28628,0.03578,0
57,90,204,237,-66.67839,0.010712,0,5.69942,0.03528,0
57,91,205,239,-62.708735,0.019468,0,4.10166,0.02222,0
57,92,206,241,-60.219913,0.200262,0,5.5825,0.20121,0
57,93,207,243,-56.129966,0.435473,0,3.98137,0.47931,0
57,94,208,245,-53.310333,0.435473,0,5.25168,0.61585,0
57,95,209,247,-49.29,0.3,1,4.051,0.529,1
57,96,210,249,-46.06,0.3,1,4.841,0.424,1
57,97,211,251,-41.53,0.3,1,3.541,0.424,1
57,98,212,253,-37.93,0.4,1,4.472,0.5,1
57,99,213,255,-33.05,0.4,1,3.191,0.565,1
58,61,177,180,-43.94,0.5,1,NaN,NaN,
58,62,178,182,-49.6,0.5,1,13.731,0.707,1
58,63,179,184,-52.69,0.401,1,11.161,0.641,1
58,64,180,186,-57.874,0.401,1,13.255,0.566,1
58,65,181,188,-60.286,0.298,1,10.484,0.499,1
58,66,182,190,-64.916,0.298,1,12.701,0.422,1
58,67,183,192,-66.658,0.196,1,9.813,0.357,1
58,68,184,194,-70.820558,0.027945,0,12.234,0.198,1
58,69,185,196,-71.979336,0.028876,0,9.2301,0.04018,0
58,70,186,198,-75.533917,0.027945,0,11.6259,0.04018,0
58,71,187,200,-76.287496,0.027945,0,8.8249,0.03952,0
58,72,188,202,-79.422905,0.027945,0,11.20673,0.03952,0
58,73,189,204,-79.70844,0.032802,0,8.35685,0.04309,0
58,74,190,206,-82.470896,0.020442,0,10.83377,0.03865,0
58,75,191,208,-82.418214,0.016354,0,8.01864,0.02618,0
58,76,192,210,-84.832889,0.020387,0,10.48599,0.02614,0
58,77,193,212,-84.616171,0.010267,0,7.8546,0.02283,0
58,78,194,214,-86.508372,0.000408,0,9.96352,0.01027,0
58,79,195,216,-85.918588,0.000437,0,7.48153,0.00016,0
58,80,196,218,-87.570922,0.004931,0,9.72365,0.00494,0
58,81,197,220,-86.947862,0.00723,0,7.44826,0.00833,0
58,82,198,222,-88.076089,0.001596,0,9.19954,0.00716,0
58,83,199,224,-85.432916,0.001597,0,5.42814,0.0001,0
58,84,200,226,-84.533188,0.002509,0,7.17159,0.00252,0
58,85,201,228,-81.606671,0.002508,0,5.1448,0.00009,0
58,86,202,230,-80.43187,0.002885,0,6.89652,0.00336,0
58,87,203,232,-77.067022,0.033902,0,4.70647,0.03399,0
58,88,204,234,-75.635389,0.016306,0,6.63968,0.03762,0
58,89,205,236,-72.013891,0.00858,0,4.44982,0.01842,0
58,90,206,238,-70.398408,0.011195,0,6.45583,0.0141,0
58,91,207,240,-66.669913,0.010246,0,4.34282,0.01518,0
58,92,208,242,-64.846854,0.011697,0,6.24826,0.01555,0
58,93,209,244,-61.225052,0.017698,0,4.44951,0.02121,0
58,94,210,246,-58.98,0.2,1,5.827,0.201,1
58,95,211,248,-54.91,0.2,1,4.001,0.283,1
58,96,212,250,-52.22,0.2,1,5.381,0.283,1
58,97,213,252,-47.78,0.3,1,3.632,0.361,1
58,98,214,254,-44.82,0.3,1,5.111,0.424,1
58,99,215,256,-39.93,0.4,1,3.182,0.5,1
58,100,216,258,-36.66,0.4,1,4.801,0.565,1
59,62,180,183,-41.422,0.5,1,NaN,NaN,
59,63,181,185,-44.78,0.5,1,11.429,0.707,1
59,64,182,187,-50.23,0.4,1,13.521,0.64,1
59,65,183,189,-53.151,0.401,1,10.992,0.566,1
59,66,184,191,-57.94,0.3,1,12.86,0.5,1
59,67,185,193,-60.324,0.196,1,10.455,0.358,1
59,68,186,195,-64.543,0.196,1,12.291,0.277,1
59,69,187,197,-66.330757,0.029808,0,9.859,0.198,1
59,70,188,199,-69.773558,0.029808,0,11.51412,0.04215,0
59,71,189,201,-71.175457,0.064273,0,9.47322,0.07085,0
59,72,190,203,-74.300656,0.046995,0,11.19652,0.07962,0
59,73,191,205,-75.227456,0.028876,0,8.99812,0.05516,0
59,74,192,207,-77.937581,0.012497,0,10.78144,0.03146,0
59,75,193,209,-78.527991,0.020316,0,8.66173,0.02385,0
59,76,194,211,-80.935861,0.011817,0,10.47919,0.0235,0
59,77,195,213,-81.340355,0.011455,0,8.47581,0.01646,0
59,78,196,215,-83.201693,0.008137,0,9.93265,0.01405,0
59,79,197,217,-83.133922,0.01115,0,8.00355,0.0138,0
59,80,198,219,-84.818798,0.007809,0,9.75619,0.01335,0
59,81,199,221,-84.688089,0.006209,0,7.94061,0.0098,0
59,82,200,223,-86.015644,0.001665,0,9.39887,0.00612,0
59,83,201,225,-83.787476,0.001665,0,5.84315,0.00008,0
59,84,202,227,-83.068246,0.001897,0,7.35209,0.00192,0
59,85,203,229,-80.750517,0.002762,0,5.75359,0.00276,0
59,86,204,231,-79.62594,0.007169,0,6.94674,0.00744,0
59,87,205,233,-76.681006,0.034816,0,5.12638,0.03553,0
59,88,206,235,-75.444067,0.015857,0,6.83438,0.03825,0
59,89,207,237,-72.535424,0.015043,0,5.16267,0.02184,0
59,90,208,239,-71.039366,0.009874,0,6.57526,0.01799,0
59,91,209,241,-68.300479,0.009015,0,5.33243,0.01337,0
59,92,210,243,-66.77963,0.011651,0,6.55047,0.01473,0
59,93,211,245,-63.758063,0.018537,0,5.04975,0.02189,0
59,94,212,247,-61.568463,0.011882,0,5.88172,0.02202,0
59,95,213,249,-58.104976,0.113009,0,4.60783,0.11363,0
59,96,214,251,-55.415268,0.017198,0,5.38161,0.11431,0
59,97,215,253,-51.568,0.2,1,4.224,0.201,1
59,98,216,255,-48.54,0.3,1,5.044,0.361,1
59,99,217,257,-44.33,0.3,1,3.861,0.424,1
59,100,218,259,-41.088,0.4,1,4.83,0.5,1
59,101,219,261,-36.52,0.4,1,3.503,0.565,1
60,64,184,188,-44.525,0.503,1,NaN,NaN,
60,65,185,190,-47.599,0.401,1,11.145,0.643,1
60,66,186,192,-52.993,0.298,1,13.465,0.499,1
60,67,187,194,-55.536,0.298,1,10.614,0.422,1
60,68,188,196,-60.314,0.196,1,12.85,0.357,1
60,69,189,198,-62.315,0.202,1,10.072,0.281,1
60,70,190,200,-66.596232,0.027945,0,12.353,0.204,1
60,71,191,202,-67.768033,0.027517,0,9.24312,0.03922,0
60,72,192,204,-71.425807,0.024205,0,11.72909,0.03665,0
60,73,193,206,-72.332372,0.046575,0,8.97788,0.05249,0
60,74,194,208,-75.646432,0.011817,0,11.38538,0.04805,0
60,75,195,210,-76.213609,0.019128,0,8.63849,0.02248,0
60,76,196,212,-79.199287,0.011817,0,11.05699,0.02248,0
60,77,197,214,-79.584567,0.011737,0,8.4566,0.01666,0
60,78,198,216,-82.01831,0.011601,0,10.50506,0.0165,0
60,79,199,218,-82.013942,0.0276,0,8.06695,0.02994,0
60,80,200,220,-84.258912,0.003447,0,10.31629,0.02781,0
60,81,201,222,-84.19263,0.003265,0,8.00504,0.00475,0
60,82,202,224,-85.94998,0.001368,0,9.82867,0.00315,0
60,83,203,226,-84.002234,0.001367,0,6.12357,0.00007,0
60,84,204,228,-83.747957,0.001367,0,7.81704,0.00005,0
60,85,205,230,-81.431951,0.001384,0,5.75531,0.00023,0
60,86,206,232,-80.925867,0.001386,0,7.56523,0.00009,0
60,87,207,234,-78.146748,0.001388,0,5.2922,0.00009,0
60,88,208,236,-77.407996,0.002127,0,7.33256,0.00166,0
60,89,209,238,-74.375466,0.002128,0,5.03879,0.00007,0
60,90,210,240,-73.679755,0.001289,0,7.37561,0.00187,0
60,91,211,242,-70.942988,0.001293,0,5.33455,0.0001,0
60,92,212,244,-70.149407,0.024485,0,7.27774,0.02446,0
60,93,213,246,-67.330297,0.002747,0,5.25221,0.02464,0
60,94,214,248,-65.824976,0.052642,0,6.566,0.05271,0
60,95,215,250,-62.283724,0.009153,0,4.53006,0.05343,0
60,96,216,252,-60.473644,0.200033,0,6.26124,0.20024,0
60,97,217,254,-56.461543,0.024918,0,4.05922,0.20158,0
60,98,218,256,-54.055,0.2,1,5.664,0.202,1
60,99,219,258,-49.807,0.3,1,3.824,0.361,1
60,100,220,260,-47.134,0.3,1,5.398,0.424,1
60,101,221,262,-42.588,0.4,1,3.526,0.5,1
60,102,222,264,-39.55,0.4,1,5.034,0.565,1
61,65,187,191,-39.35,0.5,1,NaN,NaN,
61,66,188,193,-44.786,0.401,1,13.508,0.641,1
61,67,189,195,-47.786,0.298,1,11.071,0.499,1
61,68,190,197,-52.881,0.298,1,13.167,0.422,1
61,69,191,199,-55.396,0.196,1,10.586,0.357,1
61,70,192,201,-59.66,0.2,1,12.336,0.28,1
61,71,193,203,-61.628,0.149,1,10.039,0.25,1
61,72,194,205,-65.407646,0.050301,0,11.851,0.157,1
61,73,195,207,-66.738751,0.057753,0,9.40242,0.07659,0
61,74,196,209,-70.052075,0.075451,0,11.38464,0.09502,0
61,75,197,211,-71.169915,0.069073,0,9.18916,0.10229,0
61,76,198,213,-74.072848,0.013041,0,10.97425,0.07029,0
61,77,199,215,-74.940483,0.027739,0,8.93895,0.03065,0
61,78,200,217,-77.500481,0.013593,0,10.63132,0.03089,0
61,79,201,219,-78.213712,0.024246,0,8.78455,0.0278,0
61,80,202,221,-80.522921,0.013972,0,10.38053,0.02798,0
61,81,203,223,-81.142044,0.023597,0,8.69044,0.02742,0
61,82,204,225,-82.960651,0.002996,0,9.88992,0.02378,0
61,83,205,227,-81.416093,0.002964,0,6.52676,0.00153,0
61,84,206,229,-81.267474,0.002859,0,7.9227,0.00153,0
61,85,207,231,-79.454309,0.004308,0,6.25815,0.0048,0
61,86,208,233,-79.04226,0.001399,0,7.65927,0.00413,0
61,87,209,235,-76.865716,0.005723,0,5.89477,0.00565,0
61,88,210,237,-76.064256,0.002267,0,7.26986,0.00588,0
61,89,211,239,-73.597139,0.020041,0,5.6042,0.02009,0
61,90,212,241,-73.386063,0.004653,0,7.86024,0.02049,0
61,91,213,243,-71.254186,0.025912,0,5.93944,0.02627,0
61,92,214,245,-70.647824,0.009066,0,7.46496,0.02743,0
61,93,215,247,-68.511976,0.046326,0,5.93547,0.04719,0
61,94,216,249,-66.939931,0.004718,0,6.49927,0.04657,0
61,95,217,251,-64.163644,0.003631,0,5.29503,0.00592,0
61,96,218,253,-62.297043,0.007006,0,6.20472,0.00786,0
61,97,219,255,-59.089209,0.013453,0,4.86348,0.01515,0
